row, tx_hash, token_address, from_address, to_address, from_is_contract, to_is_contract, token_id, blk_number, blk_timestamp, eth_value, weth_value
46, 0xa677e6bd8185950636fe5a3ec705789f798e5368593d4d71e6f0757685043304, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xd1bea81dd97d4fcebc5b25686bdca04deff3991f, false, false, 9281, 12287875, 1619065892.0, 0.0, 0
47, 0xbc46d34349d7d4fd4d111f44f4bf52b2f08f2ea1261db90f98f39999080b0cf0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 439, 12287878, 1619065925.0, 0.0, 0
48, 0xbc46d34349d7d4fd4d111f44f4bf52b2f08f2ea1261db90f98f39999080b0cf0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 247, 12287878, 1619065925.0, 0.0, 0
49, 0xbc46d34349d7d4fd4d111f44f4bf52b2f08f2ea1261db90f98f39999080b0cf0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 321, 12287878, 1619065925.0, 0.0, 0
50, 0xbc46d34349d7d4fd4d111f44f4bf52b2f08f2ea1261db90f98f39999080b0cf0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 248, 12287878, 1619065925.0, 0.0, 0
51, 0xbc46d34349d7d4fd4d111f44f4bf52b2f08f2ea1261db90f98f39999080b0cf0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 261, 12287878, 1619065925.0, 0.0, 0
52, 0xbc46d34349d7d4fd4d111f44f4bf52b2f08f2ea1261db90f98f39999080b0cf0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 84, 12287878, 1619065925.0, 0.0, 0
53, 0xbc46d34349d7d4fd4d111f44f4bf52b2f08f2ea1261db90f98f39999080b0cf0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 246, 12287878, 1619065925.0, 0.0, 0
54, 0xbc46d34349d7d4fd4d111f44f4bf52b2f08f2ea1261db90f98f39999080b0cf0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 398, 12287878, 1619065925.0, 0.0, 0
55, 0xbc46d34349d7d4fd4d111f44f4bf52b2f08f2ea1261db90f98f39999080b0cf0, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x47dabf35b9ce88cf1b4e18918d7ec3892b58127f, false, false, 471, 12287878, 1619065925.0, 0.0, 0
56, 0x51414581be7cdc48d0ed2bf48281e6fa854088559b8328b17cb9868075cb696d, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0x19dfdc194bb5cf599af78b1967dbb3783c590720, false, false, 17245, 12287895, 1619066216.0, 0.0, 0
57, 0xa94fb256385b1eea7da9d8d168aaa95f2dc05a9a9a1527e66c9b2a7a9e891522, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xbbf46514de004992d8dcbcec19f02f2e772ab51d, false, false, 16564, 12287900, 1619066242.0, 0.0, 0
58, 0xa94fb256385b1eea7da9d8d168aaa95f2dc05a9a9a1527e66c9b2a7a9e891522, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xbbf46514de004992d8dcbcec19f02f2e772ab51d, false, false, 22508, 12287900, 1619066242.0, 0.0, 0
59, 0xa94fb256385b1eea7da9d8d168aaa95f2dc05a9a9a1527e66c9b2a7a9e891522, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xbbf46514de004992d8dcbcec19f02f2e772ab51d, false, false, 12457, 12287900, 1619066242.0, 0.0, 0
60, 0xa94fb256385b1eea7da9d8d168aaa95f2dc05a9a9a1527e66c9b2a7a9e891522, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xbbf46514de004992d8dcbcec19f02f2e772ab51d, false, false, 13105, 12287900, 1619066242.0, 0.0, 0
61, 0xa94fb256385b1eea7da9d8d168aaa95f2dc05a9a9a1527e66c9b2a7a9e891522, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xbbf46514de004992d8dcbcec19f02f2e772ab51d, false, false, 21605, 12287900, 1619066242.0, 0.0, 0
62, 0xa94fb256385b1eea7da9d8d168aaa95f2dc05a9a9a1527e66c9b2a7a9e891522, 0xc3f733ca98e0dad0386979eb96fb1722a1a05e69, 0x0000000000000000000000000000000000000000, 0xbbf46514de004992d8dcbcec19f02f2e772ab51d, false, false, 22428, 12287900, 1619066242.0, 0.0, 0
